,City,Latitude,Longitude,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dwarka,22.24,68.97,84.47,53,0,13.09,IN,1603731853
1,port alfred,-33.59,26.89,65.35,83,100,28.61,ZA,1603731574
2,bara,10.37,10.73,89.6,22,11,5.82,NG,1603731856
3,zhuhai,22.28,113.57,78.01,83,0,13.87,CN,1603731856
5,lac-megantic,45.58,-70.88,37,74,100,1.99,CA,1603731856
6,laurel,39.1,-76.85,55.99,93,90,3.44,US,1603731600
7,kodiak,57.79,-152.41,48.2,49,20,18.34,US,1603731791
8,tuktoyaktuk,69.45,-133.04,8.6,84,90,13.87,CA,1603731787
9,vaini,-21.2,-175.2,71.6,94,20,8.05,TO,1603731730
10,great falls,47.5,-111.3,19.4,62,1,19.46,US,1603731591
11,qinzhou,21.95,108.62,70.57,85,29,9.62,CN,1603731858
13,eyl,7.98,49.82,78.53,79,100,10.4,SO,1603731585
14,busselton,-33.65,115.33,55.99,70,7,3.58,AU,1603731741
15,tasiilaq,65.61,-37.64,33.8,50,100,20.8,GL,1603731858
16,hobart,-42.88,147.33,50,61,90,3.36,AU,1603731457
17,rikitea,-23.12,-134.97,75.31,84,83,17.29,PF,1603731821
18,avarua,-21.21,-159.78,73.4,78,100,17.22,CK,1603731859
19,muyezerskiy,63.93,31.65,44.2,93,100,12.12,RU,1603731860
20,butaritari,3.07,172.79,81.27,67,100,7.78,KI,1603731726
21,qaanaaq,77.48,-69.36,7.29,71,73,8.93,GL,1603731798
22,exeter,50.72,-3.53,53.6,76,20,11.41,GB,1603731866
23,qaqortoq,60.72,-46.03,46.4,28,75,19.46,GL,1603731866
24,upernavik,72.79,-56.15,16.54,80,84,5.39,GL,1603731810
25,souillac,-20.52,57.52,75.2,73,40,11.41,MU,1603731867
26,albany,42.6,-73.97,46.99,87,100,8.12,US,1603731608
27,nanakuli,21.39,-158.15,73,94,20,3.36,US,1603731867
28,mount isa,-20.73,139.5,71.6,35,20,9.17,AU,1603731619
29,katsuura,35.13,140.3,62.6,67,20,12.75,JP,1603731868
30,bluff,-46.6,168.33,44.19,85,20,2.98,NZ,1603731736
31,miri,4.41,114.01,75.2,100,40,4.7,MY,1603731591
32,hasaki,35.73,140.83,53.6,87,20,9.17,JP,1603731772
33,sann,26.04,68.14,73.4,60,0,3.27,PK,1603731868
35,tiznit,29.58,-9.5,68.13,41,0,8.46,MA,1603731869
36,emba,48.83,58.14,37.53,75,0,16.93,KZ,1603731869
37,dikson,73.51,80.55,13.93,96,100,13.82,RU,1603731869
38,ushuaia,-54.8,-68.3,59,33,40,19.46,AR,1603731577
39,vila franca do campo,37.72,-25.43,68,88,40,16.11,PT,1603731787
40,cape town,-33.93,18.42,72,64,0,10.29,ZA,1603731646
41,amazar,53.86,120.88,32.25,96,100,5.03,RU,1603731870
42,port elizabeth,-33.92,25.57,62.6,93,90,19.46,ZA,1603731592
43,mpika,-11.83,31.45,73.81,43,74,7.9,ZM,1603731871
44,sistranda,63.73,8.83,46.4,70,0,11.41,NO,1603731871
45,mataura,-46.19,168.86,36.21,94,28,1.9,NZ,1603731781
46,punta arenas,-53.15,-70.92,55.4,43,40,40.26,CL,1603731485
47,hovd,48.01,91.64,29.32,74,56,1.3,MN,1603731828
48,saskylakh,71.92,114.08,1.17,92,90,6.31,RU,1603731590
49,panama city,8.99,-79.52,86,74,40,10.29,PA,1603731765
50,hilo,19.73,-155.09,75.2,64,75,8.05,US,1603731750
51,saint-philippe,-21.36,55.77,71.6,88,53,3.36,RE,1603731821
52,jamestown,42.1,-79.24,48.99,100,90,3.36,US,1603731754
53,oranjemund,-28.55,16.43,59.88,85,7,13.13,NA,1603731875
54,caramay,10.18,119.24,79.61,84,100,11.79,PH,1603731875
56,bud,39.45,-86.18,46.99,87,90,3.36,US,1603731875
57,visby,57.64,18.3,53.01,93,75,11.41,SE,1603731876
58,bandundu,-3.32,17.37,71.89,97,100,3.2,CD,1603731877
59,osakarovka,50.56,72.57,46.18,55,99,22.3,KZ,1603731878
60,bracebridge,45.03,-79.32,37.99,93,90,3.24,CA,1603731861
61,pevek,69.7,170.31,23.99,95,92,10.96,RU,1603731844
62,izyum,49.21,37.25,51.37,60,100,10.11,UA,1603731878
63,ordzhonikidze,52.44,61.74,34.36,83,96,23,KZ,1603731880
64,nelson,-41.28,173.28,61,92,100,1.99,NZ,1603731881
65,wewak,-3.55,143.63,76.51,84,43,3.76,PG,1603731881
66,baykalovo,57.4,63.77,30.18,97,100,23.96,RU,1603731881
67,leh,34.17,77.58,30.25,65,17,1.3,IN,1603731881
68,castro,-24.79,-50.01,77.49,54,93,5.01,BR,1603731881
69,avera,33.19,-82.53,69.8,94,90,4.7,US,1603731654
70,bathsheba,13.22,-59.52,87.8,70,40,12.75,BB,1603731861
71,brae,60.4,-1.35,50,87,75,5.82,GB,1603731786
72,ambon,-3.7,128.18,82.99,89,73,5.41,ID,1603731827
74,ndele,8.41,20.65,78.44,65,12,1.99,CF,1603731882
75,badarganj,25.67,89.05,74.71,60,23,2.08,BD,1603731882
76,victoria,22.29,114.16,75,83,82,5.01,HK,1603731758
77,ribeira grande,38.52,-28.7,69.8,83,20,16.11,PT,1603731595
78,parrita,9.52,-84.32,73.4,78,75,4.7,CR,1603731883
79,nevelsk,46.67,141.86,30.2,100,81,7.49,RU,1603731883
80,lavrentiya,65.58,-171,30.25,91,32,5.08,RU,1603731883
81,lahaina,20.88,-156.68,75.2,69,1,8.05,US,1603731865
82,sarangani,5.4,125.46,83.19,73,100,3.96,PH,1603731885
83,fort-shevchenko,44.51,50.26,52.38,64,83,12.62,KZ,1603731885
84,ulaangom,49.98,92.07,25.47,88,39,1.99,MN,1603731785
85,rocha,-34.48,-54.33,60.03,87,100,15.21,UY,1603731890
86,kaitangata,-46.28,169.85,48,82,77,4,NZ,1603731891
87,bintulu,3.17,113.03,73.4,100,40,3.36,MY,1603731891
89,mana,5.66,-53.78,87.64,61,23,11.05,GF,1603731891
90,sitka,57.05,-135.33,51.8,100,90,14.99,US,1603731751
92,tiksi,71.69,128.87,5.13,92,100,10.69,RU,1603731891
93,paita,-5.09,-81.11,77,65,0,11.41,PE,1603731708
94,chaozhou,23.67,116.64,69.8,83,0,4.47,CN,1603731892
95,akyab,20.15,92.9,80.85,80,46,3.8,MM,1603731892
96,jinka,5.65,36.65,65.73,85,45,0.89,ET,1603731892
97,thompson,55.74,-97.86,24.8,73,90,10.29,CA,1603731892
98,ayaviri,-14.89,-70.59,65.28,25,36,6.29,PE,1603731892
99,salalah,17.02,54.09,80.6,65,0,1.12,OM,1603731772
100,kizlyar,43.85,46.72,51.48,87,7,7.85,RU,1603731893
102,bredasdorp,-34.53,20.04,66.2,77,100,18.34,ZA,1603731732
103,nikolskoye,59.7,30.79,46.99,87,0,6.71,RU,1603731826
104,cururupu,-1.83,-44.87,91.08,51,53,7.96,BR,1603731893
105,arraial do cabo,-22.97,-42.03,78.8,74,20,9.17,BR,1603731637
106,new norfolk,-42.78,147.06,50,65,74,1.1,AU,1603731734
107,colinas,-6.03,-44.25,95.05,40,63,3.31,BR,1603731844
108,waipawa,-41.41,175.52,55.99,93,100,12.75,NZ,1603731894
109,fortuna,40.6,-124.16,52,36,1,8.05,US,1603731808
110,belyy yar,53.6,91.39,39.2,93,40,6.71,RU,1603731894
111,la asuncion,11.03,-63.86,83.62,71,42,11.27,VE,1603731895
112,port lincoln,-34.73,135.87,54,86,0,6.67,AU,1603731862
113,kavieng,-2.57,150.8,82.96,68,86,5.93,PG,1603731700
114,atuona,-9.8,-139.03,78.98,74,13,23.82,PF,1603731895
115,zunyi,27.69,106.91,58.95,89,100,0.83,CN,1603731895
116,bichura,50.59,107.6,26.31,81,48,2.21,RU,1603731895
117,obigarm,38.72,69.71,50.34,36,0,4.54,TJ,1603731896
118,mount gambier,-37.83,140.77,50,76,90,12.75,AU,1603731896
120,paamiut,61.99,-49.67,32.5,91,100,31.23,GL,1603731896
121,balabac,7.99,117.06,80.8,82,100,23.17,PH,1603731896
122,namangan,41,71.67,50,57,95,6.93,UZ,1603731896
123,hattiesburg,31.33,-89.29,75,68,1,3.36,US,1603731896
124,talnakh,69.49,88.4,6.8,84,40,6.71,RU,1603731656
125,aitape,-3.14,142.35,76.42,82,81,4.21,PG,1603731897
126,chuy,-33.7,-53.46,60.67,95,100,14.47,UY,1603731897
127,ust-nera,64.57,143.2,3.07,76,10,2.08,RU,1603731886
128,bengkulu,-3.8,102.27,75.69,84,100,4.18,ID,1603731612
130,taltal,-25.4,-70.48,63.73,58,25,5.37,CL,1603731645
131,batagay-alyta,67.8,130.41,6.06,84,100,1.19,RU,1603731898
132,eagle pass,28.71,-100.5,66.2,88,75,20.8,US,1603731662
133,chokurdakh,70.63,147.92,9.23,96,99,11.97,RU,1603731711
134,grand gaube,-20.01,57.66,73.99,74,19,5.01,MU,1603731898
135,east london,-33.02,27.91,62.6,93,90,16.11,ZA,1603731898
